user_id,event_type,event_ts,campaign_id,campaign_name,channel,order_id,order_value
u_00225,click,2025-07-20 00:01:06,SEA-002,Competitor Conquest,Paid Search,,
u_00861,click,2025-07-20 00:04:47,DSP-100,Awareness Blast,Display,,
u_01542,click,2025-07-20 00:11:31,SEA-002,Competitor Conquest,Paid Search,,
u_01194,click,2025-07-20 00:11:32,AFF-200,Top Affiliates,Affiliate,,
u_01733,click,2025-07-20 00:14:24,AFF-200,Top Affiliates,Affiliate,,
u_01814,click,2025-07-20 00:26:49,DSP-100,Awareness Blast,Display,,
u_00041,click,2025-07-20 00:33:55,SEA-001,Brand Search,Paid Search,,
u_00201,purchase,2025-07-20 00:36:20,,,,001f55ec-b5b4-4d97-97b9-77cf7adac3a4,131.38
u_00995,purchase,2025-07-20 00:40:44,,,,d4545c25-1bf8-4241-91bf-74b1fb838f7e,42.76
u_01385,click,2025-07-20 00:41:02,SEA-001,Brand Search,Paid Search,,
u_00961,click,2025-07-20 00:49:54,SOC-010,Summer Splash,Paid Social,,
u_00296,click,2025-07-20 00:50:09,AFF-200,Top Affiliates,Affiliate,,
u_01585,purchase,2025-07-20 00:50:25,,,,87bbadf2-19d1-4b22-b2d2-9960dc6cb19c,208.3
u_00980,click,2025-07-20 00:52:44,SEA-002,Competitor Conquest,Paid Search,,
u_00523,purchase,2025-07-20 00:54:42,,,,b77754e9-1d14-4879-a809-0aec2267def5,64.52
u_00471,click,2025-07-20 00:59:18,DSP-100,Awareness Blast,Display,,
u_01116,purchase,2025-07-20 01:05:32,,,,8d07edc8-f917-4c8f-852d-2469e7ac7412,169.01
u_00496,click,2025-07-20 01:06:09,SEA-002,Competitor Conquest,Paid Search,,
u_01852,click,2025-07-20 01:17:01,SEA-001,Brand Search,Paid Search,,
u_01533,click,2025-07-20 01:18:06,DSP-100,Awareness Blast,Display,,
u_01836,click,2025-07-20 01:19:18,SEA-002,Competitor Conquest,Paid Search,,
u_00642,click,2025-07-20 01:20:37,SOC-011,Back-to-School,Paid Social,,
u_00496,click,2025-07-20 01:22:06,AFF-200,Top Affiliates,Affiliate,,
u_00473,click,2025-07-20 01:23:57,DSP-100,Awareness Blast,Display,,
u_00521,click,2025-07-20 01:24:20,AFF-200,Top Affiliates,Affiliate,,
u_00770,click,2025-07-20 01:27:27,SOC-010,Summer Splash,Paid Social,,
u_00653,click,2025-07-20 01:28:33,DSP-100,Awareness Blast,Display,,
u_01972,click,2025-07-20 01:32:23,AFF-200,Top Affiliates,Affiliate,,
u_01142,click,2025-07-20 01:32:53,SOC-011,Back-to-School,Paid Social,,
u_00084,click,2025-07-20 01:33:14,SEA-002,Competitor Conquest,Paid Search,,
u_01583,click,2025-07-20 01:35:30,SOC-010,Summer Splash,Paid Social,,
u_00179,click,2025-07-20 01:37:47,SOC-010,Summer Splash,Paid Social,,
u_00088,click,2025-07-20 01:40:08,DSP-100,Awareness Blast,Display,,
u_00302,purchase,2025-07-20 01:40:36,,,,6ebce143-d983-43c3-9c99-68e154f5fa9a,146.28
u_01400,click,2025-07-20 01:48:53,DSP-100,Awareness Blast,Display,,
u_00626,click,2025-07-20 01:56:48,SOC-010,Summer Splash,Paid Social,,
u_01300,purchase,2025-07-20 01:58:36,,,,148b9731-acb8-43fd-8653-5747fc524405,65.15
u_01751,click,2025-07-20 01:58:50,SOC-011,Back-to-School,Paid Social,,
u_00088,click,2025-07-20 02:13:07,SOC-011,Back-to-School,Paid Social,,
u_01418,purchase,2025-07-20 02:14:10,,,,a32ecbcb-d7df-4842-b5b1-53072dbabf3b,107.41
u_00737,click,2025-07-20 02:23:55,SEA-002,Competitor Conquest,Paid Search,,
u_01745,purchase,2025-07-20 02:24:54,,,,d3408c9d-fc4b-4f94-bcec-a78263ce5ef5,71.12
u_00167,click,2025-07-20 02:28:41,DSP-100,Awareness Blast,Display,,
u_01668,purchase,2025-07-20 02:29:04,,,,cc19169d-1005-4b99-854d-675879fd96b2,218.81
u_01420,click,2025-07-20 02:31:35,SEA-002,Competitor Conquest,Paid Search,,
u_00984,click,2025-07-20 02:35:43,SEA-002,Competitor Conquest,Paid Search,,
u_00561,click,2025-07-20 02:36:57,SOC-011,Back-to-School,Paid Social,,
u_00974,click,2025-07-20 02:42:06,DSP-100,Awareness Blast,Display,,
u_00703,purchase,2025-07-20 02:44:23,,,,92136b1d-4a9d-4313-9184-d2811ef9c133,247.33
u_00668,purchase,2025-07-20 02:48:54,,,,fe389a51-9959-4164-9045-a57bf42f67ef,145.31
u_01279,click,2025-07-20 02:51:23,SEA-001,Brand Search,Paid Search,,
u_01941,purchase,2025-07-20 02:55:40,,,,ff627e84-1a1f-4318-9b2c-1232ab5f2106,85.37
u_01922,click,2025-07-20 02:56:29,SOC-010,Summer Splash,Paid Social,,
u_00258,click,2025-07-20 02:59:30,DSP-100,Awareness Blast,Display,,
u_01363,purchase,2025-07-20 02:59:32,,,,2761c056-8b25-44d0-8db8-2051683efb13,254.97
u_01097,purchase,2025-07-20 03:06:26,,,,3e00e088-7638-4aa2-ac96-42fa68e6db49,77.29
